epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6291.18,0.61103,0.54461,0.94011,0.23875,0.24835,0.19211,0.14327,1.19596,4.4404,1.39946,0.000183887,0.000183887,0.000183887
77,6303.55,0.58166,0.56433,0.9229,0.29277,0.21627,0.19085,0.13944,1.22594,4.30383,1.43224,0.000182166,0.000182166,0.000182166
78,6316.02,0.60339,0.5582,0.93377,0.28228,0.21013,0.18989,0.14047,1.20883,4.3975,1.39911,0.000180445,0.000180445,0.000180445
79,6328.55,0.5737,0.51269,0.9015,0.25688,0.22528,0.20207,0.15062,1.21071,4.23975,1.41064,0.000178723,0.000178723,0.000178723
80,6341.13,0.58869,0.50981,0.93125,0.29811,0.27084,0.23147,0.17491,1.21966,4.30069,1.4402,0.000177002,0.000177002,0.000177002
81,6353.65,0.57936,0.54714,0.91016,0.28372,0.23553,0.19379,0.14889,1.19315,4.39567,1.3934,0.00017528,0.00017528,0.00017528
82,6366.03,0.5795,0.53696,0.9139,0.17233,0.23696,0.20443,0.15584,1.22095,4.33806,1.41207,0.000173559,0.000173559,0.000173559
83,6378.66,0.5892,0.53411,0.93263,0.35662,0.18113,0.19623,0.14929,1.1921,4.2022,1.42777,0.000171837,0.000171837,0.000171837
84,6391.07,0.58081,0.52762,0.92911,0.23053,0.25315,0.20107,0.15138,1.21217,4.29796,1.43,0.000170116,0.000170116,0.000170116
85,6403.55,0.59178,0.50747,0.92804,0.22406,0.27173,0.18522,0.1381,1.21619,4.21652,1.44937,0.000168394,0.000168394,0.000168394
86,6416.03,0.58777,0.52417,0.9142,0.2199,0.20664,0.18231,0.13349,1.21189,4.39248,1.46997,0.000166673,0.000166673,0.000166673
87,6428.73,0.57754,0.50532,0.91073,0.22418,0.23645,0.19712,0.14596,1.23308,4.32441,1.46759,0.000164951,0.000164951,0.000164951
88,6441.5,0.58207,0.51715,0.93654,0.34018,0.20606,0.19827,0.14383,1.24222,4.33581,1.49361,0.000163229,0.000163229,0.000163229
89,6454.02,0.57208,0.48832,0.91198,0.26441,0.22408,0.17879,0.13282,1.22148,4.28385,1.44622,0.000161508,0.000161508,0.000161508
